brand,freezer_capacity,number_of_reviews,price,product_description,ratings,total_capacity
GE,,150,$699.99 ,GE - 20.8 Cu. Ft. Top-Freezer Refrigerator - Black,4.5,
LG,,2,"$1,099.99 ",LG - 23.8 Cu. Ft. Top-Freezer Refrigerator - Stainless steel,5,
Whirlpool,,13,"$1,439.99 ",Whirlpool - 19.7 Cu. Ft. French Door Refrigerator - White,4.4,
GE,,51,$639.99 ,GE - 15.6 Cu. Ft. Frost-Free Top-Freezer Refrigerator - Black,4.3,
Samsung,,"3,679","$1,749.99 ",Samsung - 25.5 Cu. Ft. French Door Refrigerator with Internal Water Dispenser - Fingerprint Resistant Black Stainless Steel,4.5,
Maytag,,33,$599.99 ,Maytag - 18.1 Cu. Ft. Top-Freezer Refrigerator - White,4.3,
Whirlpool,,46,"$1,599.99 ",Whirlpool - 20.6 Cu. Ft. Side-by-Side Counter-Depth Refrigerator - Sunset Bronze,4.4,
LG,,5,"$1,979.99 ",LG - 26.1 Cu. Ft. Side-by-Side InstaView Door-in-Door Smart Wi-Fi Enabled Refrigerator - Stainless steel,4,
GE,,355,"$1,499.99 ",GE - 24.8 Cu. Ft. French Door Refrigerator - Slate,4.5,
GE,,6,"$7,589.99 ",GE - Profile Series 24.3 Cu. Ft. Side-by-Side Built-In Refrigerator - Stainless steel,4,
LG,,12,"$2,299.99 ",LG - 27.7 Cu. Ft. French Door-in-Door Smart Wi-Fi Enabled Refrigerator - PrintProof Stainless Steel,4.5,
GE,,242,"$2,814.99 ",GE - 27.8 Cu. Ft. French Door Refrigerator - Black stainless steel,4.4,
Samsung,,52,"$1,249.99 ",Samsung - 19.4 Cu.Ft. French Door Refrigerator - White,4.4,
LG,,NA,"$3,499.99 ",LG - 29.7 Cu. Ft. French Door-in-Door Refrigerator with Craft Ice - PrintProof Stainless Steel,,
Café,,51,"$3,174.99 ",Café - 22.2 Cu. Ft. French Door Counter-Depth Refrigerator - Matte Black,4.2,
KitchenAid,,NA,"$2,399.99 ",KitchenAid - 19.8 Cu. Ft. Side-by-Side Counter-Depth Refrigerator - Stainless steel,,
Whirlpool,,10,"$1,169.99 ",Whirlpool - 21.4 Cu. Ft. Side-by-Side Refrigerator - White,4.3,
Haier,,15,$519.99 ,Haier - 9.8 Cu. Ft. Top-Freezer Refrigerator - White,4.7,
GE,,1,"$2,814.99 ",GE - 27.8 Cu. Ft. French Door Refrigerator - Slate,5,
Haier,,15,$519.99 ,Haier - 9.8 Cu. Ft. Top-Freezer Refrigerator - Black,4.7,
Whirlpool,,3,"$1,709.99 ",Whirlpool - 25.2 Cu. Ft. French Door Refrigerator - Stainless steel,4.7,
Samsung,,58,"$2,699.99 ",Samsung - 22.7 Cu. Ft. 4-Door Flex French Door Counter-Depth Refrigerator - Fingerprint Resistant Black Stainless Steel,4.5,
Whirlpool,,2,"$1,099.99 ",Whirlpool - 25.1 Cu. Ft. Side-by-Side Refrigerator - Stainless steel,4.5,
Frigidaire,,168,"$1,399.99 ",Frigidaire - Gallery 22.1 Cu. Ft. Counter-Depth Refrigerator - Black stainless steel,4.3,
